iter	Logloss
0	0.6815850127
1	0.6694675952
2	0.6586719537
3	0.6472268156
4	0.6337937989
5	0.622260042
6	0.6122337078
7	0.6031164625
8	0.5932254916
9	0.583036219
10	0.5752948776
11	0.5665419606
12	0.5583855618
13	0.548110461
14	0.5391380634
15	0.5303025365
16	0.5201630988
17	0.5111249962
18	0.5036239981
19	0.4953436328
20	0.4875544824
21	0.4807028943
22	0.4750872269
23	0.4661341237
24	0.4606636942
25	0.4538446241
26	0.4456499384
27	0.4386460301
28	0.4333513483
29	0.4286560217
30	0.42263513
31	0.4156784022
32	0.4083452459
33	0.4015392398
34	0.3957857732
35	0.3881986591
36	0.3820155396
37	0.3763406135
38	0.370480124
39	0.3655282296
40	0.3608264289
41	0.3556016749
42	0.3506674477
43	0.3464135923
44	0.3422042016
45	0.3375813889
46	0.3332531036
47	0.3299891249
48	0.3263077602
49	0.3220928577
50	0.3184011222
51	0.3147389124
52	0.3104102224
53	0.3067558103
54	0.302751885
55	0.2988576638
56	0.2950264483
57	0.2908387781
58	0.2876105623
59	0.2839771999
60	0.2808767526
61	0.2774148026
62	0.2743647461
63	0.2714319115
64	0.2691024143
65	0.26555416
66	0.2620629944
67	0.259138953
68	0.2551116486
69	0.2525676869
70	0.2501939425
71	0.2471225177
72	0.2438235856
73	0.241810623
74	0.2388267066
75	0.2363894888
76	0.2336743298
77	0.2308615198
78	0.2286092514
79	0.2259234922
80	0.2232007237
81	0.2206979959
82	0.2181628901
83	0.2157009923
84	0.2135901607
85	0.2113420362
86	0.208825143
87	0.2067302866
88	0.2047554071
89	0.2020405706
90	0.2003700698
91	0.1975729899
92	0.1955993654
93	0.1938496608
94	0.1917809847
95	0.189982901
96	0.1881774586
97	0.1863740434
98	0.1841594055
99	0.1823587732
100	0.1803335605
101	0.1787917563
102	0.1768589515
103	0.1750466368
104	0.1730879905
105	0.1716184801
106	0.1698322022
107	0.1680650454
108	0.1665699146
109	0.1653704107
110	0.1640367239
111	0.1621161911
112	0.1602187373
113	0.1589370095
114	0.1573741237
115	0.1556862673
116	0.1538579894
117	0.1527622743
118	0.1514572388
119	0.1498540034
120	0.1483662281
121	0.1468719144
122	0.1456652254
123	0.1444768364
124	0.1435049089
125	0.1426110726
126	0.1408887398
127	0.1395121739
128	0.1383951183
129	0.1369888706
130	0.1357450761
131	0.1345908443
132	0.1337804493
133	0.1326561111
134	0.1316793253
135	0.1302575446
136	0.1295275532
137	0.1282779644
138	0.1271973295
139	0.1262586897
140	0.1247792998
141	0.1237245155
142	0.1222891904
143	0.1214539237
144	0.1204087245
145	0.1193244859
146	0.118273054
147	0.1172008803
148	0.1165033418
149	0.1156277065
150	0.1145133304
151	0.1136579922
152	0.1124140717
153	0.1117378448
154	0.1108606539
155	0.1098193182
156	0.109055319
157	0.1078486892
158	0.1069098306
159	0.1063616486
160	0.10563746
161	0.1049176923
162	0.1041189162
163	0.1036050028
164	0.1027135591
165	0.1015706995
166	0.100906226
167	0.1001411039
168	0.09942877888
169	0.09884593197
170	0.09785883578
171	0.09693893069
172	0.09613926832
173	0.09549387213
174	0.09509280439
175	0.09395968942
176	0.0931491589
177	0.09260334154
178	0.09169154529
179	0.09112271619
180	0.09064778795
181	0.08992249886
182	0.08911275325
183	0.08816521735
184	0.08757349936
185	0.08678280989
186	0.0861190407
187	0.08532462635
188	0.08494793859
189	0.08424930611
190	0.08352404491
191	0.08288660402
192	0.08227525689
193	0.08158470709
194	0.08105562188
195	0.08066174713
196	0.08022847334
197	0.07966033013
198	0.07929851829
199	0.07898613307
200	0.07835617183
201	0.07767013224
202	0.07731184258
203	0.07695823745
204	0.07659439067
205	0.07618049585
206	0.07551092472
207	0.0750760815
208	0.0746345522
209	0.07400826572
210	0.07338255109
211	0.07282073256
212	0.07231789725
213	0.07203313258
214	0.07163381533
215	0.07102797791
216	0.07067952046
217	0.0700383608
218	0.06965753223
219	0.06931165813
220	0.06903298173
221	0.0685689331
222	0.06795563104
223	0.06740547532
224	0.06681819436
225	0.06647786818
226	0.06595498739
227	0.0656286779
228	0.06531273125
229	0.06489395526
230	0.06462975477
231	0.06422953918
232	0.06389268643
233	0.06334142478
234	0.06308265833
235	0.06280882249
236	0.06230206911
237	0.06189520684
238	0.06156310848
239	0.06106846085
240	0.06072864575
241	0.06031128462
242	0.05992757634
243	0.05960544536
244	0.05917042353
245	0.0587864406
246	0.05839062897
247	0.05805547079
248	0.05765179984
249	0.05740862653
250	0.05685377802
251	0.05660187163
252	0.05632082049
253	0.05588364356
254	0.05561597454
255	0.05536879423
256	0.05497588711
257	0.05462933624
258	0.05436869938
259	0.05413658564
260	0.05380200877
261	0.05346758234
262	0.05304141566
263	0.0528586191
264	0.05257090731
265	0.05228797082
266	0.05211633717
267	0.05183911332
268	0.05154063152
269	0.05117855735
270	0.05085377618
271	0.05055375161
272	0.05031171613
273	0.05006924292
274	0.04979819865
275	0.04946201444
276	0.04907499062
277	0.0488768586
278	0.04866333059
279	0.04843023968
280	0.04819377806
281	0.04787287252
282	0.04760579677
283	0.04742776433
284	0.0471444804
285	0.04692817344
286	0.04659167945
287	0.04630728356
288	0.04600603026
289	0.04571678027
290	0.04545935564
291	0.04513838014
292	0.04502630692
293	0.04477533729
294	0.04456455684
295	0.04437453969
296	0.04424078069
297	0.04396508651
298	0.04360967599
299	0.04336534978
300	0.0431242753
301	0.04284504277
302	0.04255650071
303	0.04229816349
304	0.04203876253
305	0.04186699137
306	0.04171152967
307	0.04146413052
308	0.04127154004
309	0.04103644483
310	0.04085869337
311	0.04058730969
312	0.04043551275
313	0.04025028561
314	0.03998271261
315	0.03967410454
316	0.03945496696
317	0.03930119837
318	0.03909550381
319	0.03888729898
320	0.03873118538
321	0.03855771872
322	0.03836306067
323	0.03826797171
324	0.03811071724
325	0.03797039444
326	0.03773412497
327	0.03755912322
328	0.03739637407
329	0.03713800616
330	0.03699258323
331	0.03682722657
332	0.03671022992
333	0.03653967099
334	0.03629522722
335	0.03617265747
336	0.03600078439
337	0.03579671337
338	0.03563311232
339	0.03549060465
340	0.03530320718
341	0.03516630913
342	0.03504423515
343	0.03498758817
344	0.03480548955
345	0.03469203652
346	0.03452420518
347	0.034426655
348	0.03424070671
349	0.03410194238
350	0.03391062565
351	0.03379466484
352	0.03365716718
353	0.03350082546
354	0.03333419897
355	0.03319913721
356	0.03303936365
357	0.03283703573
358	0.03274410076
359	0.03257550636
360	0.0323740111
361	0.03220217276
362	0.03202444265
363	0.03185092306
364	0.03174396168
365	0.03159270929
366	0.03142894412
367	0.03126893331
368	0.03119468209
369	0.0310984929
370	0.03093943958
371	0.03082650591
372	0.03069798615
373	0.03054968529
374	0.03038455659
375	0.03025086602
376	0.03008729991
377	0.02998122801
378	0.02991521674
